age,diet,height,pets,sex,status
30,strictly anything,71,likes dogs and likes cats,m,single
31,mostly anything,65,NA,f,single
39,NA,67,likes dogs and has cats,f,single
29,mostly anything,70,NA,m,single
36,mostly anything,72,NA,m,single
24,NA,65,has dogs and has cats,m,single
31,strictly anything,70,NA,m,single
24,mostly anything,69,NA,m,single
21,mostly anything,67,likes dogs and likes cats,m,single
40,anything,74,NA,m,single
25,mostly vegetarian,62,has dogs,f,single
27,NA,66,likes dogs and likes cats,f,single
21,strictly anything,68,likes dogs,f,single
27,NA,66,likes dogs and has cats,m,single
40,NA,69,likes dogs and likes cats,m,single
28,NA,70,NA,m,single
48,mostly anything,71,likes dogs and likes cats,m,single
32,mostly anything,71,NA,m,single
24,anything,71,likes dogs,m,single
32,strictly vegetarian,66,has cats,m,available
43,NA,72,likes dogs and likes cats,m,single
24,NA,72,likes dogs and likes cats,m,single
26,strictly anything,68,has dogs,m,single
31,mostly anything,67,NA,m,single
24,anything,74,has dogs,m,single
22,NA,71,likes dogs and likes cats,m,single
26,NA,74,NA,m,single
32,NA,71,NA,m,single
25,anything,67,NA,m,single
20,NA,69,NA,m,single
26,NA,72,likes dogs and has cats,m,single
37,NA,68,has dogs and likes cats,m,single
65,strictly anything,74,dislikes dogs and likes cats,m,single
26,NA,75,likes dogs and likes cats,m,single
28,mostly vegetarian,68,NA,f,single
32,NA,68,likes dogs and likes cats,m,single
23,mostly anything,71,likes dogs and has cats,m,single
28,NA,72,likes dogs,m,single
49,NA,72,likes cats,m,single
21,mostly anything,67,likes dogs and likes cats,m,single
25,mostly anything,68,has dogs,m,single
48,NA,62,likes dogs,f,single
36,mostly anything,65,likes dogs and likes cats,f,single
29,NA,70,NA,m,single
36,NA,68,likes dogs and has cats,f,single
26,NA,64,NA,f,single
26,NA,64,NA,f,single
28,NA,71,NA,m,single
23,mostly anything,68,likes dogs and likes cats,m,single
29,NA,76,likes dogs and likes cats,m,single
27,NA,74,likes dogs and likes cats,m,available
25,NA,68,NA,m,single
27,NA,71,likes dogs and has cats,m,single
26,NA,67,likes dogs,f,single
23,NA,68,likes dogs and likes cats,m,single
20,NA,64,NA,f,single
40,mostly anything,72,likes dogs and likes cats,m,single
39,strictly anything,72,likes dogs and likes cats,m,single
52,NA,66,has dogs and has cats,f,single
28,anything,71,NA,m,single
30,mostly anything,69,likes dogs and has cats,f,single
25,NA,65,has dogs,f,single
34,NA,64,NA,f,single
42,strictly anything,73,likes dogs and has cats,f,single
23,NA,66,NA,f,single
32,mostly anything,65,has dogs,f,single
31,mostly anything,62,has dogs,f,single
43,NA,64,likes dogs and has cats,f,single
25,NA,73,likes dogs and has cats,f,single
29,strictly vegetarian,70,likes dogs and likes cats,f,single
30,mostly anything,71,NA,m,single
25,NA,69,NA,m,single
19,NA,64,has dogs and has cats,f,single
22,NA,63,NA,f,single
32,NA,69,likes dogs and likes cats,f,seeing someone
25,NA,62,likes dogs and likes cats,f,single
35,NA,65,likes dogs and has cats,f,single
41,mostly anything,72,has cats,m,single
41,anything,72,NA,m,single
26,mostly anything,70,likes dogs and dislikes cats,m,single
28,NA,64,likes dogs and likes cats,f,single
27,NA,68,NA,f,single
32,NA,63,has dogs and has cats,f,single
26,NA,74,NA,m,available
26,mostly anything,69,NA,m,single
31,anything,72,has dogs and has cats,m,single
30,mostly anything,68,has dogs,m,single
34,mostly anything,71,NA,m,single
37,anything,66,NA,f,single
21,strictly anything,64,likes dogs and likes cats,f,single
25,anything,70,likes dogs and has cats,m,single
25,NA,63,NA,m,single
32,anything,63,NA,f,single
46,NA,70,NA,m,single
42,NA,66,has dogs and likes cats,f,single
33,anything,66,likes dogs,m,single
46,anything,64,NA,f,single
54,strictly vegetarian,70,likes dogs and dislikes cats,m,single
49,mostly anything,66,likes dogs and likes cats,f,single
33,anything,61,likes dogs,f,single
34,strictly anything,72,NA,m,single
28,NA,66,likes dogs,f,single
25,NA,72,likes dogs and likes cats,m,single
26,NA,59,likes dogs and dislikes cats,f,single
28,anything,67,NA,m,single
50,anything,65,NA,f,single
42,mostly anything,68,likes cats,f,single
25,NA,67,likes dogs and has cats,f,single
27,mostly anything,66,NA,m,single
39,mostly anything,73,has dogs and has cats,m,single
36,mostly anything,75,likes dogs and likes cats,m,single
26,anything,70,has cats,m,single
42,vegan,76,has dogs and likes cats,m,single
39,NA,70,has dogs and likes cats,m,single
31,anything,66,has dogs,m,single
39,mostly anything,72,likes dogs and likes cats,m,single
23,NA,64,likes cats,f,single
30,NA,69,NA,m,single
28,anything,72,NA,m,single
25,mostly anything,66,NA,f,single
32,mostly anything,65,NA,f,single
25,mostly anything,69,NA,m,single
31,NA,70,NA,m,single
25,mostly anything,72,likes dogs and likes cats,m,single
35,NA,75,NA,m,single
28,NA,74,likes dogs and likes cats,m,seeing someone
23,NA,68,likes dogs,m,single
24,anything,76,NA,m,single
23,NA,70,NA,m,single
28,mostly anything,70,has dogs,m,single
35,NA,70,NA,m,single
30,NA,71,likes dogs and dislikes cats,m,single
27,NA,71,NA,m,single
39,NA,63,has dogs,f,single
26,NA,67,NA,f,single
25,mostly anything,64,likes cats,f,single
27,NA,69,NA,f,single
26,mostly anything,70,likes dogs and likes cats,f,single
49,strictly other,61,likes dogs and has cats,f,single
47,NA,71,NA,m,single
29,NA,71,NA,m,single
26,mostly anything,69,likes dogs and likes cats,m,single
48,NA,67,likes dogs and has cats,m,single
43,mostly vegetarian,65,NA,m,single
47,strictly vegetarian,66,likes dogs and has cats,f,single
28,mostly vegan,72,NA,m,single
35,mostly anything,71,likes dogs and likes cats,m,single
33,mostly vegetarian,71,likes dogs and likes cats,m,single
22,NA,69,NA,m,single
30,mostly anything,69,has dogs,f,single
30,mostly anything,69,has dogs and likes cats,m,single
37,mostly anything,71,NA,m,single
23,NA,70,NA,m,single
26,anything,70,likes dogs and likes cats,m,single
27,NA,73,likes dogs and likes cats,m,single
27,mostly anything,69,NA,m,single
26,mostly anything,69,likes dogs,m,single
25,anything,66,likes dogs and likes cats,m,single
24,NA,68,likes dogs and likes cats,m,single
48,mostly anything,61,likes dogs and likes cats,f,single
30,NA,70,NA,m,single
24,strictly anything,63,NA,f,single
27,NA,67,likes dogs and has cats,m,single
22,NA,64,likes cats,f,single
23,NA,68,NA,m,single
40,mostly vegetarian,68,NA,m,available
25,NA,68,NA,m,single
34,NA,66,has dogs,f,single
34,mostly anything,68,likes dogs,m,single
32,strictly vegetarian,68,NA,m,single
38,mostly anything,64,NA,m,single
28,mostly anything,65,has dogs,m,single
54,mostly anything,70,has dogs and has cats,m,single
25,strictly anything,69,likes dogs and likes cats,m,single
29,mostly vegetarian,71,likes dogs and likes cats,m,single
30,anything,68,likes dogs and likes cats,m,single
25,mostly other,69,likes dogs and likes cats,m,single
20,mostly anything,70,has dogs and likes cats,m,single
26,strictly anything,72,likes dogs and likes cats,m,single
42,NA,68,NA,m,single
54,NA,68,likes dogs and has cats,m,single
37,NA,70,likes cats,m,single
23,mostly anything,66,NA,m,single
27,mostly anything,65,likes dogs and likes cats,f,single
25,vegan,65,likes dogs and likes cats,f,seeing someone
25,mostly anything,68,likes dogs,f,single
40,NA,68,likes dogs and has cats,f,single
39,anything,67,likes dogs,f,single
27,NA,68,NA,m,single
30,NA,69,has dogs and likes cats,f,single
27,strictly anything,71,likes dogs and likes cats,m,single
30,NA,70,NA,m,single
30,NA,64,NA,f,single
24,mostly anything,71,likes cats,m,single
39,anything,75,has dogs and likes cats,m,available
29,mostly vegetarian,65,likes dogs and likes cats,f,single
37,mostly anything,65,likes dogs and likes cats,f,single
61,mostly vegetarian,70,likes dogs and likes cats,m,single
24,NA,72,likes dogs,m,single
43,NA,75,likes dogs and likes cats,m,single
24,mostly anything,67,NA,m,single
33,mostly anything,71,likes dogs and likes cats,m,available
23,NA,67,NA,m,single
59,NA,70,has cats,m,available
19,NA,71,NA,m,single
37,mostly anything,70,likes dogs and has cats,m,single
33,strictly anything,71,NA,m,single
23,mostly anything,71,likes dogs,m,single
26,strictly anything,74,NA,m,single
43,mostly anything,73,likes dogs,m,single
41,NA,72,likes dogs and likes cats,m,single
51,NA,74,NA,m,single
25,NA,71,NA,m,seeing someone
55,mostly vegetarian,74,likes dogs,m,single
46,anything,70,has dogs and likes cats,m,single
26,strictly vegetarian,70,likes dogs and dislikes cats,m,single
33,mostly anything,69,NA,m,single
31,anything,73,NA,m,single
30,NA,73,likes dogs and likes cats,m,single
26,mostly anything,75,likes dogs and likes cats,m,single
24,NA,76,NA,m,single
26,mostly anything,71,likes dogs,m,single
26,mostly vegetarian,72,NA,m,single
30,mostly anything,69,likes dogs and likes cats,m,single
21,anything,75,has dogs and has cats,m,single
27,mostly anything,70,likes cats,m,single
29,anything,73,NA,m,single
48,mostly anything,69,likes dogs and likes cats,m,single
29,anything,73,likes dogs and likes cats,m,single
37,strictly anything,66,likes dogs,f,single
38,anything,69,NA,f,single
33,NA,62,likes dogs and has cats,f,single
21,NA,83,NA,m,single
31,mostly anything,75,NA,m,single
56,mostly vegetarian,66,likes dogs and likes cats,f,single
63,mostly anything,72,NA,m,single
55,NA,65,has dogs,f,single
27,anything,68,has dogs,m,single
46,NA,65,likes dogs and has cats,f,single
23,anything,71,likes dogs and likes cats,m,single
27,mostly anything,69,NA,m,single
38,NA,72,dislikes dogs and dislikes cats,m,available
25,NA,64,has dogs,f,single
38,anything,68,likes dogs,m,single
33,NA,68,likes dogs and likes cats,m,single
26,NA,69,likes dogs and dislikes cats,m,single
22,anything,71,has dogs and dislikes cats,m,seeing someone
25,mostly anything,72,has dogs and has cats,m,single
23,NA,69,NA,m,single
24,mostly anything,62,likes dogs and likes cats,f,single
26,mostly anything,64,NA,f,single
23,mostly anything,71,NA,m,single
28,NA,68,NA,m,single
31,NA,73,has dogs and likes cats,m,single
59,NA,66,has cats,f,single
29,NA,63,has dogs,f,single
24,NA,67,NA,m,single
27,NA,71,NA,m,single
56,mostly anything,63,NA,f,single
25,anything,75,has dogs,m,single
34,strictly anything,73,likes dogs,m,single
26,NA,70,NA,m,single
38,NA,69,likes dogs and has cats,f,seeing someone
26,NA,69,NA,m,single
20,mostly anything,71,has dogs and dislikes cats,m,single
43,NA,70,likes dogs and likes cats,m,single
22,mostly vegetarian,71,likes dogs and has cats,m,single
32,strictly vegetarian,67,NA,m,single
24,NA,75,likes dogs,m,single
25,NA,73,likes dogs and likes cats,m,single
39,mostly other,74,likes dogs and likes cats,m,single
29,mostly anything,67,NA,m,available
42,NA,72,has dogs and likes cats,m,single
29,NA,73,has dogs and likes cats,m,single
25,mostly anything,70,likes dogs,m,available
57,strictly other,64,likes dogs and has cats,m,single
18,strictly anything,74,NA,m,single
34,NA,74,NA,m,single
55,NA,70,likes dogs,m,single
26,NA,68,NA,m,single
25,mostly anything,64,NA,f,single
27,mostly anything,74,likes dogs and likes cats,m,single
30,NA,64,likes dogs and likes cats,m,seeing someone
61,mostly anything,70,NA,m,single
25,mostly anything,68,likes dogs and likes cats,m,single
53,NA,68,NA,m,single
42,anything,60,has dogs and has cats,f,single
23,NA,66,NA,f,single
26,NA,64,has dogs and likes cats,f,seeing someone
24,NA,74,has dogs,m,single
21,anything,68,has dogs and dislikes cats,m,single
37,mostly anything,70,likes dogs,m,single
43,mostly anything,68,likes dogs and likes cats,m,single
22,mostly anything,74,NA,m,single
40,mostly vegetarian,66,likes dogs and has cats,m,single
43,NA,70,has dogs and likes cats,m,single
50,NA,71,likes dogs and likes cats,m,single
33,NA,69,NA,m,single
26,mostly anything,69,likes dogs and dislikes cats,m,single
36,mostly anything,66,NA,f,single
42,mostly anything,68,has dogs and likes cats,f,single
34,anything,74,NA,m,single
34,mostly vegetarian,62,likes dogs,f,single
33,NA,62,likes dogs,f,available
30,anything,63,likes dogs,f,single
26,mostly anything,70,likes dogs,m,single
34,mostly anything,69,NA,m,single
33,NA,69,NA,m,single
30,vegetarian,68,NA,m,single
46,mostly anything,67,has dogs,m,single
57,anything,73,NA,m,single
30,NA,69,has dogs,m,single
55,mostly anything,66,NA,m,single
22,strictly vegan,75,likes dogs and likes cats,m,single
21,mostly anything,71,likes dogs and has cats,m,single
61,NA,74,has cats,m,single
34,NA,69,likes dogs,m,single
25,strictly anything,73,NA,m,single
29,mostly anything,69,likes dogs and likes cats,m,single
36,mostly vegetarian,74,likes dogs and likes cats,m,single
28,anything,72,likes dogs,m,single
26,mostly vegetarian,62,likes dogs and likes cats,f,seeing someone
32,NA,69,likes cats,f,single
25,strictly anything,73,likes dogs and has cats,m,single
47,NA,62,likes dogs and has cats,f,single
31,mostly vegetarian,73,likes cats,m,single
25,mostly anything,68,NA,m,married
25,NA,68,has dogs,f,single
25,NA,68,has dogs,f,single
33,NA,70,likes dogs,m,single
38,mostly other,70,has dogs,m,single
32,strictly vegetarian,68,likes dogs,m,single
24,NA,72,NA,m,single
32,anything,66,likes dogs and likes cats,m,single
44,mostly vegetarian,68,likes dogs and likes cats,m,single
25,anything,74,NA,m,single
27,NA,75,has cats,m,single
33,anything,70,has dogs and likes cats,m,single
69,mostly anything,68,likes dogs,m,single
34,NA,74,likes dogs and likes cats,m,single
64,mostly other,66,NA,m,single
29,mostly anything,72,likes dogs and likes cats,m,single
36,anything,72,has dogs and has cats,m,single
22,NA,71,NA,m,single
31,anything,71,NA,m,single
35,strictly anything,78,likes dogs,m,single
41,anything,73,NA,m,available
38,mostly anything,63,has dogs,m,single
19,strictly anything,71,has dogs and has cats,m,single
30,mostly anything,73,likes dogs and likes cats,m,single
31,NA,69,NA,m,single
29,anything,65,likes dogs and likes cats,m,single
27,mostly anything,69,NA,m,single
26,strictly anything,72,likes cats,m,single
49,mostly anything,62,NA,f,single
25,NA,71,has dogs,m,single
26,strictly anything,68,likes dogs and likes cats,m,single
26,mostly anything,65,likes dogs,m,single
40,strictly anything,72,has dogs and likes cats,m,single
40,mostly anything,75,NA,m,single
26,NA,70,NA,m,single
66,anything,67,likes cats,m,single
39,mostly anything,70,likes dogs and dislikes cats,m,single
27,NA,69,has dogs,m,single
39,anything,71,has dogs and has cats,m,seeing someone
48,mostly vegetarian,72,likes dogs and likes cats,m,single
23,mostly anything,74,likes dogs and likes cats,m,seeing someone
23,NA,70,likes dogs and likes cats,m,single
24,strictly vegetarian,74,NA,m,single
29,NA,71,NA,m,single
24,strictly anything,71,has dogs,m,available
32,strictly anything,73,NA,m,single
27,strictly anything,78,likes dogs and likes cats,m,single
38,mostly anything,74,likes dogs and has cats,m,single
38,anything,72,NA,m,single
33,mostly vegetarian,72,likes dogs and likes cats,m,single
44,anything,72,has dogs and has cats,m,single
30,NA,71,likes dogs,m,single
48,NA,67,likes dogs and likes cats,m,single
30,mostly anything,72,likes dogs and likes cats,m,single
32,strictly vegetarian,72,likes dogs and likes cats,m,single
38,mostly anything,69,NA,m,single
31,strictly vegetarian,70,likes dogs and likes cats,m,single
26,NA,67,NA,m,single
32,mostly anything,71,likes dogs,m,single
37,strictly anything,69,likes dogs,m,single
42,anything,70,likes dogs,m,single
21,mostly other,71,has dogs and likes cats,m,single
27,mostly anything,72,likes dogs,m,single
28,mostly anything,72,NA,m,single
30,NA,70,NA,m,single
38,mostly anything,71,likes dogs,m,single
56,NA,70,has dogs,m,single
23,vegetarian,72,NA,m,single
34,mostly anything,73,likes dogs and likes cats,m,single
26,mostly anything,66,likes dogs and likes cats,m,single
48,strictly kosher,70,NA,m,single
27,anything,64,has dogs,f,single
28,NA,76,likes dogs and likes cats,m,single
30,NA,69,likes dogs and likes cats,m,single
26,strictly other,73,likes dogs and likes cats,m,single
26,mostly anything,73,has cats,m,single
32,anything,70,likes dogs and likes cats,m,single
42,NA,71,NA,m,single
40,strictly vegan,75,likes dogs and likes cats,m,single
27,other,70,likes dogs,m,single
29,mostly anything,72,likes dogs,m,single
36,NA,66,NA,m,single
36,NA,70,NA,m,single
68,NA,72,NA,m,single
35,mostly anything,63,NA,f,single
27,mostly anything,63,NA,m,single
49,NA,64,NA,f,single
41,mostly anything,66,likes dogs and has cats,f,single
42,NA,68,likes dogs and has cats,f,single
31,NA,75,likes dogs,m,single
28,NA,66,NA,m,single
28,NA,63,likes dogs,f,single
25,strictly anything,65,likes dogs and likes cats,f,single
23,NA,67,NA,m,single
48,mostly vegetarian,75,likes dogs,m,single
24,mostly anything,69,likes dogs and dislikes cats,m,single
29,NA,68,NA,m,single
30,NA,71,likes dogs and likes cats,m,seeing someone
38,NA,72,NA,m,available
27,mostly anything,69,NA,m,single
31,NA,73,likes dogs and likes cats,m,single
33,NA,69,NA,m,single
31,mostly anything,67,likes dogs,m,single
29,mostly anything,68,NA,m,single
25,mostly anything,68,NA,m,single
28,NA,64,NA,f,single
40,NA,69,likes dogs and likes cats,m,available
28,NA,68,NA,m,single
27,mostly anything,72,has dogs and has cats,m,single
31,mostly anything,69,likes dogs and dislikes cats,m,single
57,NA,62,likes dogs and likes cats,f,seeing someone
34,anything,67,NA,f,single
32,anything,71,likes dogs,m,single
21,mostly vegetarian,69,NA,m,single
25,strictly anything,73,has dogs and dislikes cats,m,single
40,mostly anything,70,NA,m,single
48,anything,69,likes dogs and likes cats,m,single
25,mostly anything,75,has dogs and likes cats,m,single
26,strictly anything,73,likes dogs and has cats,m,single
48,NA,72,NA,m,single
48,mostly anything,72,NA,m,single
28,mostly anything,72,likes dogs and likes cats,m,single
49,mostly anything,71,likes dogs,m,single
38,mostly anything,68,likes dogs,m,single
24,NA,60,NA,f,single
37,mostly anything,66,NA,f,single
29,NA,65,likes dogs and likes cats,m,single
26,mostly anything,64,likes dogs and likes cats,f,single
23,NA,67,likes dogs,m,single
25,mostly vegan,66,NA,m,single
25,strictly anything,66,likes dogs and likes cats,m,single
33,mostly other,66,likes dogs and likes cats,f,single
34,mostly vegetarian,70,likes dogs and has cats,m,single
36,NA,70,NA,m,single
25,mostly anything,66,likes dogs and has cats,m,single
26,other,71,NA,m,single
38,anything,72,NA,m,single
22,NA,76,NA,m,single
31,mostly anything,71,likes dogs and likes cats,m,single
31,strictly vegetarian,70,likes dogs and likes cats,m,single
28,anything,73,likes dogs,m,single
29,mostly anything,68,likes dogs,m,single
47,NA,64,has cats,m,available
31,anything,70,likes dogs and likes cats,m,single
27,anything,64,has dogs,f,single
32,mostly anything,60,NA,f,single
29,NA,69,likes dogs,f,single
34,mostly anything,68,dislikes cats,f,single
33,vegetarian,66,NA,f,single
34,mostly anything,67,likes dogs,m,single
27,strictly anything,73,likes dogs,m,single
24,mostly anything,70,likes cats,m,single
38,NA,71,NA,m,single
56,mostly anything,68,has dogs and has cats,m,single
21,strictly vegetarian,70,NA,m,single
45,NA,66,NA,m,single
24,NA,73,likes dogs and has cats,m,single
35,NA,69,NA,m,single
36,NA,68,likes dogs and has cats,m,single
44,mostly anything,67,likes dogs and likes cats,m,single
27,NA,74,likes dogs,m,single
26,anything,66,likes dogs and likes cats,m,single
30,strictly anything,68,likes dogs and likes cats,m,single
27,mostly vegetarian,65,likes dogs,f,single
32,NA,69,dislikes cats,f,single
23,anything,62,has dogs,f,single
36,strictly anything,75,NA,m,single
30,NA,73,likes dogs,m,single
37,NA,64,NA,f,married
22,mostly vegetarian,68,likes dogs and likes cats,m,single
25,strictly vegetarian,64,NA,f,single
31,mostly anything,72,likes dogs and likes cats,m,single
48,NA,74,likes dogs and likes cats,m,single
20,strictly anything,77,NA,m,single
24,mostly anything,68,has dogs and likes cats,m,single
24,mostly anything,71,has dogs,m,single
32,mostly anything,74,has dogs,m,married
28,mostly anything,66,likes dogs and likes cats,f,single
55,mostly anything,62,likes dogs and dislikes cats,f,single
21,mostly vegetarian,63,NA,f,single
28,mostly anything,67,NA,f,single
22,NA,67,NA,f,single
24,mostly anything,68,has dogs,f,single
22,vegetarian,62,NA,f,single
57,mostly other,72,likes dogs and likes cats,m,single
49,NA,76,likes dogs and likes cats,m,available
22,strictly anything,73,has dogs,m,single
27,NA,66,NA,f,single
42,NA,68,NA,m,single
36,anything,65,likes dogs,f,single
22,NA,69,NA,m,single
26,anything,61,NA,f,single
52,NA,75,likes dogs and likes cats,m,single
28,strictly anything,75,has dogs and dislikes cats,m,single
20,mostly anything,67,likes dogs and likes cats,f,single
28,strictly anything,62,likes dogs and likes cats,f,single
21,NA,64,NA,f,available
25,NA,62,likes dogs and likes cats,f,single
24,mostly anything,63,likes dogs and likes cats,f,single
24,mostly anything,67,has dogs and has cats,f,single
26,NA,72,NA,m,single
35,other,64,dislikes dogs and likes cats,f,single
30,mostly anything,68,likes dogs and dislikes cats,f,single
56,NA,70,likes dogs and likes cats,m,single
38,NA,74,likes dogs,m,single
34,anything,66,NA,m,single
31,anything,71,NA,m,single
62,NA,71,likes dogs and likes cats,m,single
23,mostly anything,70,likes dogs and likes cats,m,single
32,mostly anything,71,likes dogs and dislikes cats,m,single
26,mostly anything,69,likes dogs,m,single
20,NA,66,likes dogs,f,single
49,NA,66,NA,m,single
30,NA,63,likes dogs,f,single
33,anything,62,has dogs and likes cats,f,single
26,NA,67,has cats,f,single
27,mostly vegetarian,68,likes dogs and likes cats,f,single
42,NA,70,NA,m,available
23,NA,74,NA,m,single
30,NA,69,has dogs and likes cats,m,single
32,NA,63,likes dogs and has cats,f,single
27,NA,68,NA,m,single
22,anything,63,likes dogs and likes cats,m,single
24,strictly anything,70,NA,m,single
29,strictly anything,75,has dogs and dislikes cats,m,single
29,NA,70,NA,m,single
48,NA,76,likes cats,m,single
35,NA,66,likes dogs and likes cats,f,single
22,mostly anything,67,likes dogs and has cats,f,single
22,mostly anything,72,likes dogs and dislikes cats,m,single
24,mostly vegetarian,72,likes dogs,m,single
30,mostly vegetarian,69,has cats,f,single
32,NA,71,has cats,f,available
26,strictly anything,71,NA,m,single
49,NA,69,likes dogs and has cats,m,single
38,NA,68,NA,m,single
36,mostly anything,70,NA,m,single
27,NA,71,NA,m,single
33,NA,70,NA,m,single
36,NA,70,likes dogs and likes cats,m,single
27,NA,66,likes dogs,f,single
34,strictly other,70,likes dogs and likes cats,m,seeing someone
62,anything,69,has cats,m,single
29,NA,70,likes dogs and likes cats,m,seeing someone
23,anything,72,likes dogs and likes cats,m,single
33,NA,67,likes dogs and has cats,f,single
38,mostly vegetarian,61,likes dogs and likes cats,f,single
28,NA,67,likes dogs,f,single
27,mostly anything,66,has dogs and likes cats,m,single
48,NA,66,NA,f,single
28,NA,72,NA,m,single
24,anything,70,NA,m,single
34,mostly anything,70,likes dogs and likes cats,f,single
18,NA,63,NA,f,single
20,NA,64,likes dogs,f,seeing someone
28,mostly anything,70,has dogs,f,single
23,NA,76,NA,m,single
41,mostly anything,74,NA,m,single
26,anything,70,likes dogs and likes cats,m,single
21,mostly anything,68,likes dogs and has cats,m,single
30,NA,69,likes dogs and has cats,m,seeing someone
37,mostly anything,70,likes dogs and likes cats,m,single
57,mostly anything,71,likes dogs and likes cats,m,single
25,mostly anything,72,NA,m,single
57,NA,73,NA,m,single
22,NA,64,has cats,f,single
27,NA,71,NA,m,single
29,NA,71,NA,m,single
29,NA,70,NA,m,single
55,NA,70,NA,m,available
28,NA,71,NA,m,single
31,NA,67,NA,m,single
40,NA,72,likes dogs,m,single
23,NA,60,likes dogs and likes cats,f,single
22,NA,66,has dogs and likes cats,f,seeing someone
45,NA,63,has dogs,f,single
20,mostly anything,61,likes dogs,f,single
21,mostly anything,72,likes dogs and likes cats,f,single
26,mostly anything,67,NA,f,single
20,mostly anything,68,likes dogs and dislikes cats,f,single
63,strictly vegetarian,59,NA,f,single
29,strictly anything,74,likes dogs and dislikes cats,m,single
30,NA,64,NA,f,single
27,mostly anything,65,NA,m,single
39,NA,70,NA,m,single
29,mostly anything,66,has dogs and has cats,m,single
26,mostly anything,69,NA,m,single
32,NA,70,likes dogs,m,seeing someone
28,NA,70,likes dogs,m,single
33,NA,70,likes dogs,m,single
27,mostly anything,65,likes dogs and likes cats,f,single
27,NA,68,has dogs,f,single
46,mostly anything,69,likes dogs and has cats,m,single
26,mostly anything,71,NA,m,single
26,mostly anything,67,likes cats,f,single
28,mostly anything,67,NA,m,single
27,mostly anything,69,likes dogs and likes cats,m,single
23,mostly vegetarian,67,likes dogs,m,seeing someone
30,mostly anything,67,likes cats,f,seeing someone
28,mostly vegetarian,64,likes dogs and has cats,f,single
19,anything,63,has dogs and dislikes cats,f,single
39,NA,68,NA,f,single
29,NA,64,likes dogs and likes cats,f,single
33,mostly anything,68,likes dogs and likes cats,m,single
29,NA,72,likes dogs,m,single
28,other,70,has cats,m,single
25,mostly anything,75,likes dogs and likes cats,m,single
28,mostly anything,76,NA,m,seeing someone
26,strictly anything,70,likes dogs,m,single
37,mostly anything,70,likes dogs and likes cats,m,single
25,mostly anything,68,likes dogs and likes cats,m,single
54,NA,70,has dogs,m,single
30,mostly anything,73,likes dogs,m,single
51,NA,61,NA,f,single
50,NA,70,likes dogs and has cats,f,single
43,mostly anything,67,likes dogs and has cats,f,seeing someone
33,mostly vegetarian,64,NA,f,single
59,mostly anything,59,likes dogs,f,single
22,NA,62,has dogs and has cats,f,seeing someone
35,mostly anything,63,has dogs and likes cats,f,single
26,NA,63,likes dogs,f,single
38,strictly anything,69,likes dogs and likes cats,f,single
39,mostly anything,67,NA,f,single
34,NA,66,likes dogs,f,single
23,anything,65,likes dogs and dislikes cats,m,single
57,mostly anything,69,has dogs,m,single
22,mostly anything,75,likes cats,m,single
27,vegetarian,73,likes dogs,m,single
38,mostly kosher,62,likes dogs,f,single
26,strictly anything,65,likes dogs and has cats,f,single
30,anything,72,has dogs,m,single
26,NA,75,likes dogs,m,single
43,NA,76,likes dogs and likes cats,m,single
30,vegetarian,67,likes dogs and likes cats,m,single
29,strictly anything,76,likes dogs and likes cats,m,single
40,mostly anything,68,has dogs,f,single
31,mostly other,62,NA,f,single
40,NA,68,has dogs,m,seeing someone
43,NA,69,NA,f,single
34,mostly other,67,NA,f,single
28,NA,65,likes dogs and likes cats,f,available
29,anything,67,NA,f,single
30,NA,64,likes dogs,m,single
26,mostly anything,64,likes dogs and likes cats,f,single
57,mostly vegetarian,61,has dogs,f,single
36,mostly vegetarian,63,likes dogs and has cats,f,single
26,mostly anything,70,likes dogs and likes cats,f,single
39,NA,66,NA,f,single
34,NA,62,likes dogs and likes cats,f,single
34,mostly anything,64,NA,f,single
36,mostly anything,68,likes dogs and has cats,f,married
25,vegan,65,has dogs and likes cats,f,single
31,mostly anything,64,has dogs and likes cats,f,single
25,NA,65,NA,f,married
36,vegetarian,68,NA,f,single
47,NA,67,likes dogs,f,single
23,mostly anything,67,likes dogs and has cats,f,single
24,NA,68,NA,f,single
25,NA,66,likes cats,m,available
57,NA,65,has dogs and likes cats,f,single
38,anything,65,likes dogs and has cats,f,single
64,NA,66,NA,f,single
33,NA,62,likes dogs and has cats,f,single
25,NA,67,likes dogs and has cats,m,single
29,strictly vegetarian,75,likes dogs,m,single
32,mostly anything,67,likes dogs and likes cats,m,single
43,NA,70,likes dogs and has cats,f,single
37,NA,69,NA,m,single
30,NA,65,likes dogs and likes cats,f,single
30,NA,68,likes dogs and dislikes cats,f,single
23,NA,66,has cats,f,single
41,NA,65,NA,m,single
28,NA,68,NA,m,single
37,NA,72,likes cats,m,single
24,mostly anything,64,likes dogs and dislikes cats,f,single
24,mostly anything,64,likes dogs and dislikes cats,f,single
23,NA,67,likes dogs and has cats,f,single
37,NA,64,likes dogs and dislikes cats,f,single
29,NA,64,has dogs and has cats,f,available
28,strictly anything,72,likes dogs and likes cats,m,single
34,mostly other,72,likes dogs and likes cats,m,single
26,NA,71,NA,m,single
62,NA,61,likes dogs and has cats,f,single
31,anything,69,likes dogs and has cats,f,single
18,NA,70,NA,m,single
25,strictly anything,70,likes dogs and likes cats,m,single
48,NA,66,has dogs and likes cats,m,single
66,NA,63,NA,f,single
